Unnamed: 0,id,date,store_nbr,family,sales,onpromotion,holiday_type,locale,locale_name,description,transferred,dcoilwtico,city,state,store_type,cluster,transactions,year,month,week,quarter,day_of_week
607868,600740,2013-12-04,15,DAIRY,345.0,0,,,,,,96.97,Ibarra,Imbabura,C,15,1293.0,2013,12,49,4,Wednesday
958353,949443,2014-06-18,49,AUTOMOTIVE,12.0,0,,,,,,106.64,Quito,Pichincha,A,11,2296.0,2014,6,25,2,Wednesday
381540,374412,2013-07-30,14,PLAYERS AND ELECTRONICS,0.0,0,,,,,,103.14,Riobamba,Chimborazo,C,7,1462.0,2013,7,31,3,Tuesday
910046,901136,2014-05-22,43,BREAD/BAKERY,172.0,0,,,,,,104.03,Esmeraldas,Esmeraldas,E,10,1045.0,2014,5,21,2,Thursday
91550,91550,2013-02-21,28,DAIRY,131.0,0,,,,,,92.79,Guayaquil,Guayas,E,10,742.0,2013,2,8,1,Thursday
473835,466707,2013-09-19,53,LINGERIE,0.0,0,,,,,,106.26,Manta,Manabi,D,13,,2013,9,38,3,Thursday
1138459,1122421,2014-09-23,51,PERSONAL CARE,209.0,1,,,,,,91.55,Guayaquil,Guayas,A,17,1416.0,2014,9,39,3,Tuesday
418474,411346,2013-08-19,50,BABY CARE,0.0,0,,,,,,107.14,Ambato,Tungurahua,A,14,2505.0,2013,8,34,3,Monday
1241647,1225609,2014-11-20,47,"LIQUOR,WINE,BEER",85.0,0,,,,,,75.63,Quito,Pichincha,A,14,3223.0,2014,11,47,4,Thursday
1517237,1497635,2015-04-23,3,PREPARED FOODS,297.0,0,,,,,,56.59,Quito,Pichincha,D,8,2764.0,2015,4,17,2,Thursday
1096616,1080578,2014-08-31,28,PET SUPPLIES,0.0,0,,,,,,,Guayaquil,Guayas,E,10,1693.0,2014,8,35,3,Sunday
536534,529406,2013-10-25,13,LAWN AND GARDEN,0.0,0,,,,,,97.4,Latacunga,Cotopaxi,C,15,785.0,2013,10,43,4,Friday
915277,906367,2014-05-25,4,"LIQUOR,WINE,BEER",0.0,0,,,,,,,Quito,Pichincha,D,9,1779.0,2014,5,21,2,Sunday
822528,813618,2014-04-03,38,BEVERAGES,732.0,0,,,,,,100.29,Loja,Loja,D,4,1674.0,2014,4,14,2,Thursday
1402740,1383138,2015-02-18,18,DELI,221.137,0,,,,,,52.13,Quito,Pichincha,B,16,1192.0,2015,2,8,1,Wednesday
920358,911448,2014-05-28,32,LINGERIE,1.0,0,,,,,,103.37,Guayaquil,Guayas,C,3,571.0,2014,5,22,2,Wednesday
140608,140608,2013-03-20,53,POULTRY,0.0,0,,,,,,93.21,Manta,Manabi,D,13,,2013,3,12,1,Wednesday
832838,823928,2014-04-09,27,HOME APPLIANCES,1.0,0,,,,,,103.55,Daule,Guayas,D,1,1311.0,2014,4,15,2,Wednesday
1495540,1475938,2015-04-11,21,GROCERY II,0.0,0,,,,,,,Santo Domingo,Santo Domingo de los Tsachilas,B,6,,2015,4,15,2,Saturday
1363916,1344314,2015-01-27,28,PET SUPPLIES,0.0,0,,,,,,45.84,Guayaquil,Guayas,E,10,1034.0,2015,1,5,1,Tuesday
1435465,1415863,2015-03-08,35,SCHOOL AND OFFICE SUPPLIES,0.0,0,,,,,,,Playas,Guayas,C,3,700.0,2015,3,10,1,Sunday
758455,749545,2014-02-26,4,HOME AND KITCHEN II,0.0,0,,,,,,102.93,Quito,Pichincha,D,9,1402.0,2014,2,9,1,Wednesday
917910,909000,2014-05-27,14,HOME AND KITCHEN I,0.0,0,,,,,,104.78,Riobamba,Chimborazo,C,7,1378.0,2014,5,22,2,Tuesday
702846,693936,2014-01-26,3,GROCERY I,8657.0,0,,,,,,,Quito,Pichincha,D,8,3530.0,2014,1,4,1,Sunday
